Cod;Nome;Periodo;Valor
35;SP;2009;3606
17;TO;2009;116
12;AC;2010;56
27;AL;2010;1633
13;AM;2010;607
16;AP;2010;98
29;BA;2010;4201
23;CE;2010;1954
53;DF;2010;534
32;ES;2010;1265
52;GO;2010;1237
21;MA;2010;785
31;MG;2010;2259
50;MS;2010;322
51;MT;2010;538
15;PA;2010;2373
25;PB;2010;1129
26;PE;2010;2497
22;PI;2010;191
41;PR;2010;2441
33;RJ;2010;3912
24;RN;2010;578
11;RO;2010;333
14;RR;2010;27
43;RS;2010;1376
42;SC;2010;441
28;SE;2010;434
35;SP;2010;3233
17;TO;2010;122
12;AC;2011;45
27;AL;2011;1819
13;AM;2011;847
16;AP;2011;71
29;BA;2011;3913
23;CE;2011;1944
53;DF;2011;613
32;ES;2011;1247
52;GO;2011;1446
21;MA;2011;893
31;MG;2011;2779
50;MS;2011;333
51;MT;2011;568
15;PA;2011;1968
25;PB;2011;1271
26;PE;2011;2393
22;PI;2011;241
41;PR;2011;2222
33;RJ;2011;3228
24;RN;2011;744
11;RO;2011;263
14;RR;2011;25
43;RS;2011;1413
42;SC;2011;450
28;SE;2011;493
35;SP;2011;3068
17;TO;2011;145
12;AC;2012;81
27;AL;2012;1637
13;AM;2012;803
16;AP;2012;111
29;BA;2012;4329
23;CE;2012;2992
53;DF;2012;682
32;ES;2012;1229
52;GO;2012;1820
21;MA;2012;1111
31;MG;2012;3012
50;MS;2012;324
51;MT;2012;604
15;PA;2012;2013
25;PB;2012;1135
26;PE;2012;2358
22;PI;2012;293
41;PR;2012;2262
33;RJ;2012;3281
24;RN;2012;824
11;RO;2012;312
14;RR;2012;29
43;RS;2012;1602
42;SC;2012;454
28;SE;2012;618
35;SP;2012;3639
17;TO;2012;160
12;AC;2013;86
27;AL;2013;1756
13;AM;2013;662
16;AP;2013;98
29;BA;2013;4039
23;CE;2013;3455
53;DF;2013;554
32;ES;2013;1176
52;GO;2013;1994
21;MA;2013;1338
31;MG;2013;3262
50;MS;2013;294
51;MT;2013;711
15;PA;2013;2099
25;PB;2013;1174
26;PE;2013;2159
22;PI;2013;342
41;PR;2013;1901
33;RJ;2013;3365
24;RN;2013;1094
11;RO;2013;282
14;RR;2013;65
43;RS;2013;1602
42;SC;2013;405
28;SE;2013;701
35;SP;2013;3260
17;TO;2013;133
12;AC;2014;109
27;AL;2014;1721
13;AM;2014;729
16;AP;2014;144
29;BA;2014;4451
23;CE;2014;3595
53;DF;2014;601
32;ES;2014;1203
52;GO;2014;1899
21;MA;2014;1613
31;MG;2014;3204
50;MS;2014;337
51;MT;2014;809
15;PA;2014;2170
25;PB;2014;1171
26;PE;2014;2403
22;PI;2014;430
41;PR;2014;1932
33;RJ;2014;3415
24;RN;2014;1246
11;RO;2014;373
14;RR;2014;43
43;RS;2014;1926
42;SC;2014;460
28;SE;2014;848
35;SP;2014;3335
17;TO;2014;162
12;AC;2015;111
27;AL;2015;1415
13;AM;2015;886
16;AP;2015;147
29;BA;2015;4330
23;CE;2015;3227
53;DF;2015;465
32;ES;2015;1014
52;GO;2015;2024
21;MA;2015;1649
31;MG;2015;3010
50;MS;2015;297
51;MT;2015;718
15;PA;2015;2389
25;PB;2015;1190
26;PE;2015;2930
22;PI;2015;367
41;PR;2015;1877
33;RJ;2015;2978
24;RN;2015;1181
11;RO;2015;348
14;RR;2015;50
43;RS;2015;2124
42;SC;2015;536
28;SE;2015;1055
35;SP;2015;2919
17;TO;2015;263
12;AC;2016;215
27;AL;2016;1473
13;AM;2016;748
16;AP;2016;215
29;BA;2016;5188
23;CE;2016;2769
53;DF;2016;485
32;ES;2016;911
52;GO;2016;2012
21;MA;2016;1540
31;MG;2016;3151
50;MS;2016;301
51;MT;2016;713
15;PA;2016;2866
25;PB;2016;998
26;PE;2016;3328
22;PI;2016;417
41;PR;2016;2020
33;RJ;2016;3801
24;RN;2016;1493
11;RO;2016;438
14;RR;2016;65
43;RS;2016;2314
42;SC;2016;561
28;SE;2016;1220
35;SP;2016;2562
17;TO;2016;298
12;AC;2017;366
27;AL;2017;1449
13;AM;2017;924
16;AP;2017;168
29;BA;2017;5136
23;CE;2017;4416
53;DF;2017;376
32;ES;2017;1137
52;GO;2017;1924
21;MA;2017;1425
31;MG;2017;2921
50;MS;2017;305
51;MT;2017;629
15;PA;2017;3157
25;PB;2017;1003
26;PE;2017;4287
22;PI;2017;351
41;PR;2017;1722
33;RJ;2017;4174
24;RN;2017;1804
11;RO;2017;342
14;RR;2017;89
43;RS;2017;2403
42;SC;2017;618
28;SE;2017;1049
35;SP;2017;2354
17;TO;2017;299
12;AC;2018;289
27;AL;2018;1135
13;AM;2018;910
16;AP;2018;232
29;BA;2018;4714
23;CE;2018;3825
53;DF;2018;308
32;ES;2018;836
52;GO;2018;1741
21;MA;2018;1233
31;MG;2018;2100
50;MS;2018;222
51;MT;2018;535
15;PA;2018;3231
25;PB;2018;949
26;PE;2018;3227
22;PI;2018;358
41;PR;2018;1431
33;RJ;2018;4056
24;RN;2018;1561
11;RO;2018;279
14;RR;2018;171
43;RS;2018;1927
42;SC;2018;411
28;SE;2018;934
35;SP;2018;1891
17;TO;2018;302
12;AC;2019;205
27;AL;2019;786
13;AM;2019;930
16;AP;2019;218
29;BA;2019;4343
23;CE;2019;1741
53;DF;2019;237
32;ES;2019;739
52;GO;2019;1390
21;MA;2019;1028
31;MG;2019;1758
50;MS;2019;202
51;MT;2019;457
15;PA;2019;2200
25;PB;2019;682
26;PE;2019;2584
22;PI;2019;331
41;PR;2019;1104
33;RJ;2019;2210
24;RN;2019;1106
11;RO;2019;250
14;RR;2019;77
43;RS;2019;1468
42;SC;2019;335
28;SE;2019;743
35;SP;2019;1624
17;TO;2019;234
